NODE,Æ½¾ùÖµ,NUM=162,NUM=243,NUM=324,NUM=405,NUM=486,NUM=567,NUM=648,NUM=729,NUM=810,NUM=891,NUM=972,NUM=1053,NUM=1134,NUM=1215,NUM=1296,NUM=1377,NUM=1458,NUM=1539,NUM=1620,NUM=1701,NUM=1782,NUM=1863,NUM=1944,NUM=2025,NUM=2106,NUM=2187,NUM=2268,NUM=2349,NUM=2430
C19,10.37931034,10,14,15,16,14,15,13,14,12,11,12,11,10,11,10,9,9,9,9,9,8,8,8,8,8,7,7,7,7
C5,10.20689655,8,13,15,16,13,14,13,14,12,11,12,11,10,11,10,9,9,9,9,9,8,8,8,8,8,7,7,7,7
A3,6.827586207,7,9,10,11,9,10,8,9,8,7,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,5
C6,6.827586207,7,9,10,11,9,10,8,9,8,7,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,5
C9,6.827586207,7,9,10,11,9,10,8,9,8,7,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,5
C18,6.827586207,7,9,10,11,9,10,8,9,8,7,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,5
C20,6.827586207,7,9,10,11,9,10,8,9,8,7,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,5
A2,3.103448276,3,4,5,5,4,5,4,4,4,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
A4,3.103448276,3,4,5,5,4,5,4,4,4,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
C31,3.103448276,3,4,5,5,4,5,4,4,4,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
C32,3.103448276,3,4,5,5,4,5,4,4,4,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
